Incident ID,Department,Date,Location,Individual's Weapon,Shooting Type,Initial incident
543,Houston PD,8/21/2012,6000 Black Maple,Gun,Non-Fatal,Burglary / home invasion
544,Houston PD,8/18/2012,4700 Gloryland,Gun,No Hit,Shots fired / shooting
545,Houston PD,8/7/2012,11727 W. Sam Houston Pkwy,Gun,Fatal,Domestic Disturbance
546,Houston PD,8/3/2012,3100 Old Spanish Trail,Vehicle,No Hit,Burglary / home invasion
547,Houston PD,7/22/2012,1600 N Wayside,Gun,No Hit,Other
548,Houston PD,7/22/2012,1000 McGowan,Unarmed,No Hit,Unknown
549,Houston PD,7/9/2012,7000 block of Bissonnet Street,Unarmed,Fatal,Suspicious activity / patrol
550,Houston PD,6/27/2012,6000 Hollister,Gun,Fatal,Shots fired / shooting
551,Houston PD,6/21/2012,10001 Westpark,Gun,No Hit,Assault
552,Houston PD,6/19/2012,15800 Blueridge Rd,Gun,Non-Fatal,Suspicious activity / patrol
553,Houston PD,6/12/2012,2610 Beatty,Gun,No Hit,Shots fired / shooting
554,Houston PD,5/24/2012,2019 Dewalt St,Knife,Fatal,Other
555,Houston PD,5/18/2012,11200 Fondren Rd,Knife,Fatal,Assault
556,Houston PD,5/17/2012,1467 Main,Unarmed,No Hit,Assault
557,Houston PD,5/16/2012,9200 N. Wayside,Gun,Non-Fatal,Shots fired / shooting
558,Houston PD,5/7/2012,17300 Tomball Parway Service Rd,Gun,Fatal,Domestic Disturbance
559,Houston PD,5/2/2012,10550 Gulf Freway,Gun,Non-Fatal,Robbery
560,Houston PD,4/18/2012,5335 Gulf Freeway,Gun,Fatal,Other
561,Houston PD,4/4/2012,11755 Court Glen,Unarmed,Non-Fatal,Other
562,Houston PD,4/2/2012,5400 Wilmington,Unarmed,No Hit,Traffic stop
563,Houston PD,3/31/2012,Protected By Law,Unarmed,No Hit,Unknown
564,Houston PD,2/26/2012,10531 Gulf Freeway,Vehicle,Non-Fatal,Burglary / home invasion
565,Houston PD,2/26/2012,5003 Ridgecreek Dr,Unknown,No Hit,Burglary / home invasion
566,Houston PD,2/16/2012,8301 Allwood St,Gun,Non-Fatal,Drug suspicion / drug warrant
567,Houston PD,1/13/2012,3820 Sherwood Ln,Unarmed,Non-Fatal,Stolen vehicle
568,Houston PD,1/7/2012,13106 Abalone Way,Unarmed,Non-Fatal,Traffic stop
569,Houston PD,1/4/2012,7024 Lawndale,Gun,No Hit,Other
570,Houston PD,12/29/2011,9810 Gulf Freeway,Knife,Non-Fatal,Fight / disorderly conduct
571,Houston PD,12/29/2011,17595 Tomball Parkway,Vehicle,Non-Fatal,Burglary / home invasion
572,Houston PD,12/25/2011,9300 Tidwell,Unarmed,Fatal,Traffic stop
573,Houston PD,12/13/2011,3700 Kingwod Dr,Gun,No Hit,Assault
574,Houston PD,11/30/2011,4506 Sherwood,Gun,Fatal,Burglary / home invasion
575,Houston PD,11/23/2011,3322 yellowstone,Gun,No Hit,Stolen vehicle
576,Houston PD,11/21/2011,500 Rusk St,Gun,Non-Fatal,Weapons disturbance
577,Houston PD,9/6/2011,3000 Oklahoma,Gun,Non-Fatal,Traffic stop
578,Houston PD,9/3/2011,9700 Braeburn Glen,Vehicle,Non-Fatal,Other
579,Houston PD,8/10/2011,10200 Forum Park,Knife,No Hit,Other
580,Houston PD,8/8/2011,Unknown,Unarmed,Fatal,Burglary / home invasion
581,Houston PD,7/28/2011,7221 Weyburn St,Unarmed,Non-Fatal,Drug suspicion / drug warrant
582,Houston PD,7/24/2011,600 Mercury,Gun,Unknown,Shots fired / shooting
583,Houston PD,7/23/2011,1600 Dunaway St,Gun,No Hit,Assault
584,Houston PD,7/20/2011,17435 Imperial Valley,Gun,No Hit,Robbery
585,Houston PD,7/11/2011,4401 W. 18TH ST,Knife,Fatal,Fight / disorderly conduct
586,Houston PD,6/20/2011,4537 Bricker,Gun,No Hit,Robbery
587,Houston PD,6/18/2011,5110 Georgia,Gun,Non-Fatal,Weapons disturbance
588,Houston PD,6/15/2011,8100 Schneider,Vehicle,Non-Fatal,Stolen vehicle
589,Houston PD,6/9/2011,Unknown,Unarmed,Fatal,Burglary / home invasion
590,Houston PD,6/7/2011,8800 Curry,Gun,Unknown,Suspicious activity / patrol
591,Houston PD,6/3/2011,7402 Calhoun Rd,Unarmed,No Hit,Assault
592,Houston PD,5/18/2011,5351 W. Alabama,Gun,No Hit,Weapons disturbance
593,Houston PD,5/16/2011,800 Northwest Mall,Gun,Non-Fatal,Weapons disturbance
594,Houston PD,5/7/2011,2121 Main,Gun,Non-Fatal,Unknown
595,Houston PD,4/11/2011,Unknown,Unknown,Unknown,Unknown
596,Houston PD,3/26/2011,1 Goodson,Unarmed,Non-Fatal,Unknown
597,Houston PD,3/16/2011,6767 Bennington,Gun,Fatal,Drug suspicion / drug warrant
598,Houston PD,2/24/2011,207 Buckboard,Gun,Non-Fatal,Drug suspicion / drug warrant
599,Houston PD,2/19/2011,1900 W. Gray,Unarmed,Fatal,Fight / disorderly conduct
600,Houston PD,2/14/2011,13824 Rosetta,Knife,Fatal,Domestic Disturbance
601,Houston PD,12/31/2010,3403 Mangum,Gun,No Hit,Robbery
602,Houston PD,12/29/2010,3800 Jensen,Gun,Fatal,Other
603,Houston PD,12/16/2010,9802 Forum Park,Gun,Fatal,Robbery
604,Houston PD,12/12/2010,5100 Westheimer Rd,Gun,Non-Fatal,Shots fired / shooting
605,Houston PD,11/30/2010,"4200 block of Fidelity, Jacinto City",Gun,Non-Fatal,Domestic Disturbance
606,Houston PD,11/22/2010,7526 Rhobell,Unarmed,Non-Fatal,Stolen vehicle
607,Houston PD,11/17/2010,14300 Minetta Street,Gun,Non-Fatal,Robbery
608,Houston PD,11/8/2010,4800 Laura Koppe,Gun,Fatal,Suspicious activity / patrol
609,Houston PD,11/5/2010,181 West Dyna,Unarmed,Non-Fatal,Burglary / home invasion
610,Houston PD,11/3/2010,16206 Alden Ridge,Unarmed,Non-Fatal,Domestic Disturbance
611,Houston PD,10/29/2010,4000 Southwest Freeway,Unarmed,Non-Fatal,Traffic stop
612,Houston PD,10/26/2010,10322 Broadstairs,Unarmed,Non-Fatal,Burglary / home invasion
613,Houston PD,10/10/2010,908 Thompson,Gun,Non-Fatal,Shots fired / shooting
614,Houston PD,9/21/2010,14561 Northwest Freeway,Gun,No Hit,Robbery
615,Houston PD,9/20/2010,1300 W. Donovan St,Vehicle,Non-Fatal,Assault
616,Houston PD,9/3/2010,2500 Old Farm Rd,Gun,Fatal,Fight / disorderly conduct
617,Houston PD,8/31/2010,15035 Westpark,Vehicle,Non-Fatal,Burglary / home invasion
618,Houston PD,8/13/2010,550 F.M. 1959,Gun,No Hit,Suspicious activity / patrol
619,Houston PD,8/9/2010,8221 Gulf Freeway,BB Gun/Toy Gun,No Hit,Suspicious activity / patrol
620,Houston PD,7/22/2010,600 Greenspoint,Unknown,No Hit,Burglary / home invasion
621,Houston PD,5/25/2010,Protected By Law,Unarmed,Non-Fatal,Burglary / home invasion
622,Houston PD,5/20/2010,2900 W. Sam Houston Pkwy,Gun,Non-Fatal,Other
623,Houston PD,5/16/2010,12109 Westheimer,Gun,Non-Fatal,Traffic stop
624,Houston PD,4/19/2010,Arlington Texas or 8301 Ley Rd,Gun,Fatal,Other
625,Houston PD,4/15/2010,3400 Woodchase,Knife,Non-Fatal,Domestic Disturbance
626,Houston PD,4/2/2010,2400 Spring Rain Dr,Unarmed,Non-Fatal,Suspicious activity / patrol
627,Houston PD,3/27/2010,1200 Oak Meadows,Gun,Fatal,Robbery
628,Houston PD,3/19/2010,7325 Bellerive Dr,Gun,Fatal,Robbery
629,Houston PD,3/7/2010,24000 block of Loop 494,Gun,Non-Fatal,Robbery
630,Houston PD,2/24/2010,5200 Pederson,Unarmed,Non-Fatal,Traffic stop
631,Houston PD,2/8/2010,Protected By Law,Gun,No Hit,Unknown
632,Houston PD,2/4/2010,6900 Martin Luther King Blvd,Gun,No Hit,Robbery
633,Houston PD,1/18/2010,11400 North Frwy,Gun,Non-Fatal,Fight / disorderly conduct
634,Houston PD,1/15/2010,6710 Lectcher,Gun,Fatal,Drug suspicion / drug warrant
635,Killeen PD,8/16/2014,3300 S Fort Hood,Vehicle,Non-Fatal,Traffic stop
636,Killeen PD,4/4/2014,4509 Golden Gate Dr.,Knife,Non-Fatal,Mental crisis / suicide attempt
637,Killeen PD,7/13/2013,1611 Grandon Dr.,Gun,Fatal,Weapons disturbance
638,Killeen PD,5/9/2014,1104 Circle M Dr.,Gun,No Hit,Drug suspicion / drug warrant
639,Killeen PD,3/30/2011,Botanical Dr./Zinnia Dr.,Unarmed,No Hit,Theft
640,Killeen PD,11/13/2012,1500 Trailboss Dr.,Gun,No Hit,Domestic Disturbance
641,Killeen PD,2/28/2012,2204 Granex,Gun,Fatal,Domestic Disturbance
831,Corpus Christi PD,7/25/2011,240 NAS Drive,BB Gun/Toy Gun,Fatal,Mental crisis / suicide attempt
643,Corpus Christi PD,12/24/2013,4113 Herndon St.,Gun,Fatal,Shots fired / shooting
644,Corpus Christi PD,12/9/2012,1109 Salem Dr.,Gun,Fatal,Mental crisis / suicide attempt
830,Corpus Christi PD,02/17/14,500 block of Hancock Ave,Gun,Non-Fatal,Weapons disturbance
829,Corpus Christi PD,03/20/14,Corpus Christi Country Club,Gun,Non-Fatal,Suspicious activity / patrol
828,Corpus Christi PD,11/09/14,2000 block Saratoga Blvd,Gun,Non-Fatal,Other
827,Corpus Christi PD,02/15/15,4900 block of Dody Street,Gun,Non-Fatal,Shots fired / shooting
826,Corpus Christi PD,04/05/15,4200 block of Santa Fe Drive,Gun,Non-Fatal,Robbery
825,Corpus Christi PD,05/04/15,3800 Brookside Drive,Gun,Non-Fatal,Mental crisis / suicide attempt
802,Corpus Christi PD,10/30/15,6313 Saint Denis,Gun,Non-Fatal,Domestic Disturbance
803,Corpus Christi PD,11/23/2015,5030 Concord,Knife,Fatal,Mental crisis / suicide attempt
809,Corpus Christi PD,12/21/15,14000 block Red River Drive,Gun,Non-Fatal,Shots fired / shooting
645,Round Rock PD,04/08/13,1500 South I-35 (Brookfield Apartments),Gun,No Hit,Robbery
646,Round Rock PD,6/16/2013,1900 Nicole Circle,Gun,Fatal,Shots fired / shooting
647,Round Rock PD,6/23/2013,221 E. Main St.,Gun,Fatal,Weapons disturbance
800,Pearland PD,9/13/2015,"300 Block of Galley Way (Freeport, Texas)",Armed - Unknown Weapon,Fatal,Unknown
806,Pasadena PD,8/9/2010,Unknown,Unknown,Unknown,Unknown
807,Pasadena PD,7/13/2010,Unknown,Unknown,Unknown,Unknown
808,Pasadena PD ,6/22/2011,Unknown,Unarmed,Non-Fatal,Traffic stop
