Incident ID,Department,Officer Name,Off duty?,Officer Age,Officer Race/Ethnicity,Officer Gender,Post action
74,Lubbock PD,Billy Mitchell,,35,W,M,
83,Mesquite PD,"Fyall, Jack",,30,B,M,
84,Mesquite PD,"Winters, Mitchell",,24,W,M,
85,Mesquite PD,"Sparling, Alex",,30,W,M,
86,Mesquite PD,"Sierra, Nicolas",,31,H,M,
87,Mesquite PD,"Crabtree, Clint",,32,W,M,
87,Mesquite PD,"Sparling, Alex",,33,W,M,
88,Waco PD,Joel Hesterman,,35,W,M,
88,Waco PD,Chase McAninch,,24,W,M,
89,Waco PD,Kenneth Carpenter,,28,W,M,
90,Waco PD,Hans Fitting,,51,W,M,
91,Waco PD,Francisco Reyes,,35,H,M,
93,Waco PD,Thomas Beaudin,,37,W,M,
94,Waco PD,Jeffrey Holt,,40,W,M,
94,Waco PD,Michael Bucher,,33,W,M,
94,Waco PD,Joshua McCuistion,,30,W,M,
95,Waco PD,Clifford Hoida,,50,W,M,
801,Waco PD,Scott Holt,,41,W,M,
96,Denton PD,Jason Hollingshead,,25,W,M,
97,Denton PD,Jason Hollingshead,,26,W,M,
98,Denton PD,Baldemar Torres Jr.,,41,H,M,
99,Denton PD,Paul Willenbrock,,39,W,M,
100,McAllen PD,Richard Villarreal,,48,H,M,
100,McAllen PD,David Ertter,,49,H,M,
100,McAllen PD,Jessy Campos,,36,H,M,
100,McAllen PD,Alexander Rocha,,31,H,M,
101,McAllen PD,Domingo Chapa,,45,H,M,
101,McAllen PD,David Briales,,51,H,M,
101,McAllen PD,Elvia Garcia,,30,H,F,
102,Odessa PD,"Nayola, Freddie",,51,H,M,
102,Odessa PD,"Potter, Gary M",,40,W,M,
102,Odessa PD,"Aguilar, Christopher L",,48,H,M,
102,Odessa PD,"Jones, Tommy J",,38,B,M,
102,Odessa PD,"Davis, Brad W",,37,W,M,
102,Odessa PD,"Sikes, John C",,33,W,M,
102,Odessa PD,"Watts, Coty L",,32,W,M,
102,Odessa PD,"Chance, Kevin C",,37,W,M,
103,Odessa PD,"Davis, Shannon T",,37,W,M,
104,Odessa PD,"Amezola, Jorge A",,26,H,M,
105,Odessa PD,"Sikes, John C",,33,W,M,
105,Odessa PD,"Chance, Kevin C",,37,W,M,
804,Odessa PD,Unknown,,27,H,M,
804,Odessa PD,Unknown,,24,W,M,
804,Odessa PD,Unknown,,28,H,M,
804,Odessa PD,Unknown,,41,H,M,
804,Odessa PD,Unknown,,40,W,M,
804,Odessa PD,Unknown,,26,W,M,
804,Odessa PD,Unknown,,26,H,M,
804,Odessa PD,Unknown,,42,H,M,
106,Midland PD,James Rex,,35,W,M,
106,Midland PD,Mollie Pehl,,32,W,F,
107,Midland PD,Guadalupe Bretado,Y,39,H,M,
108,Midland PD,Zachary D. Chesworth,,26,W,M,
109,Midland PD,Ciro B. Chairez,,25,H,M,
109,Midland PD,Anthony C. Corson,,26,W,M,
110,Midland PD,James H. Cox,Y,38,W,M,
111,Midland PD,Mitch Russell,,44,W,M,
111,Midland PD,Sean Sharp,,34,W,M,
113,Midland PD,Greg Snow,,41,W,M,
113,Midland PD,Dayton Weatherford,,24,W,M,
114,Midland PD,Ciro B. Chairez,Y,27,H,M,
115,Richardson PD,"Lynch, Matthew",,29,W,M,
115,Richardson PD,"Bannister, Travis",,25,W,M,
116,Richardson PD,"Kermes, Jack",,46,W,M,
117,Richardson PD,"Ruiz-Gonzalez, Eddie",Y,27,W,M,
118,Tyler PD,Eddie Sheffield,,U,W,M,
119,Tyler PD,John Matthew Riggle,,U,W,M,
120,Brownsville PD,Rolando Trujillo,,23,W,M,
121,Brownsville PD,Raul Cazares,,U,W,M,
121,Brownsville PD,Everardo Longoria,,U,W,M,
122,Dallas PD,Christohper Deleon,,U,H,M,
123,Dallas PD,Albert Martinez,,U,H,M,
123,Dallas PD,Richard Melo,,U,H,M,
124,Dallas PD,John Grabbe,,U,W,M,
125,Dallas PD,Jonathan Wilson,,U,W,M,
125,Dallas PD,Rene Villanueva,,U,H,M,
126,Dallas PD,Teran Dickerson,,U,B,M,
127,Dallas PD,Otoniel Boudet,,U,H,M,
127,Dallas PD,Jason Crow,,U,W,M,
127,Dallas PD,Timothy Payovich,,U,W,M,
128,Dallas PD,Daniel Espinosa,,U,H,M,
129,Dallas PD,Gilbert Padilla,,U,H,M,
130,Dallas PD,Louis Pacheco,,U,H,M,
131,Dallas PD,Adam Thayer,,U,W,M,
132,Dallas PD,Christopher Thomas,,U,B,M,
133,Dallas PD,Matthew Tate,,U,W,M,
134,Dallas PD,Ryan McCarrick,,U,W,M,
134,Dallas PD,Buddy Brisco,,U,W,M,
134,Dallas PD,Patrick Jobe,,U,W,M,
134,Dallas PD,Steven Blosser,,U,W,M,
134,Dallas PD,Daryell Harmon,,U,W,M,
135,Dallas PD,Michael Felini,,U,W,M,
135,Dallas PD,Guy Curtis,,U,W,M,
136,Dallas PD,Juan Rangel,,U,H,M,
137,Dallas PD,Jordan Colunga,,U,H,M,
138,Dallas PD,Danny Haulbrook,,U,W,M,
139,Dallas PD,Lawrence Christian,,U,W,M,
139,Dallas PD,Philip Offutt,,U,W,M,
140,Dallas PD,Michael Mosher,,U,W,M,
141,Dallas PD,Katherine Silvia,,U,W,F,
141,Dallas PD,Joseph Dillard,,U,W,M,
142,Dallas PD,Kevin Hayden,,U,B,M,
143,Dallas PD,Germaine Walls,Y,U,B,M,
144,Dallas PD,Thomas Hughes,,U,W,M,
145,Dallas PD,Louis Pacheco,,U,H,M,
146,Dallas PD,Michael Johnson,,U,B,M,
147,Dallas PD,Jesus Martinez,,U,H,M,
147,Dallas PD,Jason Cox,,U,W,M,
148,Dallas PD,Daniel Zarate,,U,W,M,
149,Dallas PD,Gregory Ceraso,,U,W,M,
150,Dallas PD,Stormy Magiera,Y,U,W,F,Fired; indicted on other charges (not for shooting)
151,Dallas PD,Te Bunthavuth,,U,A,M,
152,Dallas PD,Joshua Shipp,,U,W,M,
152,Dallas PD,Thomas Hughes,,U,W,M,
153,Dallas PD,Paul Deborst,,U,W,M,
153,Dallas PD,Mark Bacon,,U,W,M,
153,Dallas PD,Daniel Canete,,U,A,M,
154,Dallas PD,Samuel McDonnold,,U,W,M,
155,Dallas PD,Roger Rudloff,,U,W,M,
155,Dallas PD,Timothy Payovich,,U,W,M,
155,Dallas PD,Jason Crow,,U,W,M,
156,Dallas PD,Saint Nelsonn,,U,W,M,
157,Dallas PD,Matthew Banes,,U,W,M,
159,Dallas PD,James Todd,,U,W,M,
158,Dallas PD,Marilyn Edwards,Y,U,B,F,
160,Dallas PD,John McGuire,,U,W,M,
160,Dallas PD,Joseph Adams,,U,W,M,
162,Dallas PD,Dennis Spears Jr.,,U,W,M,
162,Dallas PD,Jaems St. Clair Jr.,,U,B,M,
161,Dallas PD,Scott Dayton,,U,W,M,
163,Dallas PD,Leland Limbaugh,,U,H,M,
164,Dallas PD,Cortenay Howard,Y,U,B,M,
165,Dallas PD,Christopher Vanderslice,,U,W,M,
166,Dallas PD,Brian Rowden,,U,W,M,
167,Dallas PD,Phillip Rhodes,,U,W,M,
167,Dallas PD,Kyle Hubert,,U,W,M,
168,Dallas PD,David Waskom,,U,W,M,
169,Dallas PD,Joshua Shipp,,U,W,M,
170,Dallas PD,Arif Khan,,U,A,M,
171,Dallas PD,Bernadino Ledezma,,U,H,M,
172,Dallas PD,Davey Bass,,U,W,M,
172,Dallas PD,Antonio Gomez,,U,H,M,
173,Dallas PD,Daniel Foster,,U,W,M,
174,Dallas PD,Charles Ned,,U,B,M,
174,Dallas PD,Farie Phelps,,U,B,M,
175,Dallas PD,Devon Palk,,U,W,M,
175,Dallas PD,Christopher Dorward,,U,W,M,
175,Dallas PD,Johnathan Sharkey,,U,H,M,
175,Dallas PD,Christopher Nilsen,,U,W,M,
175,Dallas PD,Matthew Banes,,U,W,M,
176,Dallas PD,Darryl Womack,,U,W,M,
176,Dallas PD,Daniel Russell,,U,W,M,
176,Dallas PD,Glen Hurst,,U,W,M,
176,Dallas PD,Ryan Hales,,U,W,M,
176,Dallas PD,William McCluskey,,U,W,M,
177,Dallas PD,Michael Patino,,U,H,M,
177,Dallas PD,Brian Fillingim,,U,W,M,
178,Dallas PD,Clark Staller,,U,W,M,
179,Dallas PD,Christopher Timms,Y,U,B,M,
180,Dallas PD,Kyle Tholl,,U,W,M,
181,Dallas PD,Ricardo Ramirez,Y,U,H,M,
182,Dallas PD,Luis Canales,,U,H,M,
182,Dallas PD,Jason Giron,,U,W,M,
183,Dallas PD,Brendan Gadomski,,U,W,M,
184,Dallas PD,Eric Freeman,,U,W,M,
185,Dallas PD,Joseph Bowling,,U,W,M,
185,Dallas PD,Samantha Salazr,,U,H,F,
186,Dallas PD,Jamal Robinson,,U,B,M,
187,Dallas PD,Berkeley Bailey,,U,W,M,
189,Dallas PD,Russell Barrett,,U,W,M,
190,Dallas PD,Alexander Everett,,U,H,M,
190,Dallas PD,Daniel Summers,,U,W,M,
190,Dallas PD,Julian McDaniel,,U,B,M,
